0.46, 46.43, 22.34, 18.6, 11.54
88.57, 26.8, 59.11, 79.57, 30.75
22.5, 59.67, 70.19, 48.77, 70.42
56.11, 72.14, 84.29, 61.81, 65.82
65.16, 40.58, 37.12, 45.98, 94.28
32.0, 15.91, 51.31, 62.09, 26.01
64.9, 79.77, 13.5, 81.22, 51.73
38.76, 69.08, 50.03, 94.61, 23.83
87.88, 86.64, 4.29, 41.88, 50.67
93.77, 38.99, 17.97, 64.55, 19.7
58.77, 0.02, 28.82, 6.81, 24.78
83.71, 6.57, 91.21, 25.38, 34.88
80.26, 7.87, 53.63, 30.5, 8.43
41.29, 8.44, 62.14, 7.25, 76.76
90.94, 75.77, 63.46, 61.65, 4.82
96.28, 47.26, 31.15, 20.18, 82.29
98.99, 88.39, 20.13, 60.81, 48.44
69.54, 74.54, 80.56, 45.77, 43.47
44.18, 38.41, 49.48, 85.5, 87.99
74.32, 14.67, 96.89, 26.27, 83.16
76.34, 94.21, 5.8, 40.99, 89.79
88.21, 44.88, 76.31, 3.32, 14.65
18.33, 59.36, 71.86, 43.83, 26.87
3.42, 14.1, 3.21, 34.25, 59.94
79.71, 49.99, 28.95, 9.14, 35.92
69.89, 47.78, 1.74, 50.92, 49.35
62.01, 67.82, 0.35, 54.76, 80.42
73.53, 68.56, 68.45, 81.6, 71.56
77.31, 23.69, 0.93, 39.29, 12.97
98.55, 77.22, 95.85, 55.05, 37.42
14.13, 34.04, 83.1, 77.45, 58.51
94.59, 85.93, 24.8, 29.17, 50.37
29.75, 79.59, 89.15, 37.81, 79.26
82.88, 98.43, 12.59, 41.93, 7.36
97.03, 15.02, 66.08, 14.47, 38.76
93.67, 6.15, 58.31, 99.64, 7.32
85.59, 35.3, 54.69, 4.82, 90.63
29.47, 91.44, 96.65, 30.76, 53.79
54.46, 60.96, 50.1, 55.03, 36.75
17.49, 53.82, 24.55, 52.36, 18.24
7.34, 31.5, 82.3, 68.02, 97.69
50.6, 62.32, 5.02, 73.63, 88.9
70.32, 32.05, 49.58, 77.0, 14.9
29.59, 40.98, 97.78, 33.58, 46.4
21.44, 14.2, 99.58, 33.7, 86.83
83.87, 28.31, 46.66, 82.21, 19.25
50.73, 25.49, 93.11, 22.54, 63.93
53.36, 60.84, 34.77, 10.59, 94.6
22.88, 42.39, 48.71, 79.27, 48.01
31.9, 10.38, 40.7, 56.18, 32.11
77.99, 58.62, 29.13, 62.26, 93.52
54.68, 35.5, 82.34, 33.36, 83.41
95.66, 60.83, 86.15, 99.89, 52.65
98.75, 70.02, 1.01, 34.76, 15.1
97.16, 53.92, 27.61, 49.61, 37.84
4.9, 79.34, 60.64, 63.96, 54.26
87.02, 69.96, 4.3, 84.8, 50.28
97.59, 37.64, 43.82, 72.74, 84.8
94.6, 28.43, 1.3, 34.63, 9.5
41.97, 80.29, 61.45, 32.99, 35.66
93.3, 44.65, 10.56, 95.46, 73.84
22.15, 25.08, 73.46, 6.75, 68.53
18.74, 57.84, 80.95, 79.24, 15.84
73.47, 97.33, 5.02, 77.2, 58.14
19.49, 8.62, 0.16, 43.45, 12.35
66.82, 83.97, 27.75, 35.12, 67.63
60.93, 24.34, 97.97, 43.88, 19.01
41.02, 1.48, 41.82, 85.73, 64.04
12.64, 72.16, 99.84, 61.47, 58.83
26.39, 86.15, 82.38, 31.04, 97.16
40.07, 62.48, 49.47, 4.22, 33.99
5.95, 22.33, 96.95, 90.02, 74.61
45.99, 73.91, 93.27, 60.59, 18.04
72.66, 83.07, 64.08, 61.13, 4.15
19.16, 47.45, 87.43, 2.47, 63.73
18.08, 50.78, 86.07, 6.17, 36.42
87.82, 50.72, 4.82, 22.0, 29.67
6.14, 61.72, 89.9, 22.85, 8.28
2.72, 57.14, 94.34, 19.62, 76.33
35.83, 29.63, 7.85, 55.51, 16.93
58.85, 90.93, 3.46, 60.39, 56.91
99.33, 75.73, 80.77, 66.69, 7.24
34.15, 6.24, 91.75, 41.24, 13.2
1.85, 3.61, 27.32, 48.23, 62.78
31.06, 40.19, 87.43, 4.23, 58.47
85.28, 57.68, 67.55, 40.21, 12.1
31.1, 55.54, 13.03, 33.55, 2.38
83.21, 9.96, 35.61, 65.22, 5.75
29.57, 70.07, 94.82, 70.32, 66.29
57.13, 60.34, 82.63, 64.95, 54.05
76.07, 88.08, 32.31, 57.1, 57.6
57.5, 45.62, 21.54, 64.06, 68.7
9.93, 66.35, 72.98, 46.12, 59.14
93.15, 64.72, 91.47, 2.12, 81.44
59.39, 20.28, 52.28, 30.48, 36.05
