#RED
255,0,13
255,15,3
247,0,5
255,3,1
255,4,9
255,0,0
253,19,0
255,20,6
255,20,4
247,0,0
249,16,16
255,1,0
246,14,11
253,0,0
250,0,11
247,0,0
244,0,8
255,0,0
255,8,0
255,0,0
236,3,0
255,9,0
249,1,17
255,3,15
242,0,0
240,0,19
235,7,0
254,9,2
255,16,0
243,19,0
255,0,0
247,5,9
244,3,0
241,0,14
253,0,20
255,0,8
255,16,15
247,0,4
255,18,0
255,0,0
255,0,17
255,0,0
255,13,2
255,9,0
241,0,7
238,0,11
255,0,0
255,8,7
255,0,20
250,0,5
255,16,0
248,0,0
254,0,0
255,0,0
238,19,7
255,18,0
239,0,0
255,11,10
255,0,0
236,7,0
255,14,0
255,2,20
247,0,0
255,16,0
255,0,15
255,0,0
243,0,0
255,16,0
255,1,0
255,0,1
255,19,0
255,18,0
255,10,0
240,2,0
255,0,18
238,0,19
245,15,12
235,19,10
255,0,17
252,0,19
245,13,0
235,0,0
255,0,20
255,10,3
255,6,5
254,11,0
247,0,0
249,0,1
255,0,0
244,17,0
239,5,0
255,0,16
246,7,0
252,0,20
246,9,20
255,18,3
255,0,3
255,0,0
255,9,0
255,0,0
255,0,0
252,15,0
237,0,0
244,6,13
247,12,10
255,0,0
255,2,12
255,0,14
246,0,0
255,6,19
238,8,15
255,0,7
255,0,0
241,0,0
248,16,6
255,8,3
251,1,8
250,20,18
255,4,0
255,20,8
#GREEN
11,255,8
0,255,0
0,249,0
0,245,0
5,238,0
2,255,2
0,255,0
0,239,9
4,247,0
0,255,0
0,255,0
0,252,0
0,235,0
13,255,19
0,251,0
10,255,20
8,255,5
0,248,2
16,239,16
0,252,3
0,249,0
0,255,0
0,255,0
2,253,16
0,255,14
0,235,17
0,237,13
0,255,0
4,243,0
0,246,0
0,236,19
0,255,14
0,250,0
11,252,0
0,246,9
11,244,0
0,255,10
0,235,0
20,242,16
11,251,0
5,255,12
20,248,0
0,242,19
0,255,13
20,255,0
1,240,0
0,255,0
11,255,0
2,243,5
0,255,6
0,238,0
3,243,0
2,255,0
0,255,0
0,255,8
0,252,0
19,251,17
18,253,0
14,255,0
0,255,8
15,243,0
0,240,13
0,253,0
0,248,18
0,255,12
0,255,4
7,255,0
0,244,0
0,253,11
0,255,0
7,245,11
2,242,1
7,252,17
0,238,20
0,255,11
18,255,8
9,239,0
13,255,0
0,255,0
15,255,15
7,255,0
0,241,0
0,237,8
13,244,3
5,248,8
0,248,8
17,255,0
0,255,1
6,255,2
15,255,14
0,255,8
9,242,0
6,255,0
0,255,0
0,252,0
6,244,0
0,252,0
6,253,0
12,250,11
0,239,0
13,255,9
14,254,0
7,255,0
8,237,17
0,255,0
0,255,14
0,255,19
3,247,3
19,254,0
0,255,0
8,251,13
16,255,8
18,236,0
0,244,9
0,250,16
0,255,6
0,255,0
0,238,0
1,241,0
20,240,0
#BLUE
4,13,237
0,0,255
0,0,255
7,11,242
5,1,255
0,0,235
4,14,255
0,5,245
17,13,255
11,0,237
0,10,255
0,0,255
17,9,253
1,0,255
0,13,255
11,4,255
0,0,255
0,4,255
17,18,242
0,11,255
0,0,243
0,10,235
9,2,255
5,4,247
0,3,255
0,14,255
0,0,242
0,0,255
0,0,246
1,0,237
8,16,255
7,7,251
9,0,237
3,0,239
7,0,255
0,18,237
0,2,255
0,0,255
0,15,255
0,0,255
0,10,255
10,19,255
4,5,255
6,0,255
0,0,255
0,0,251
15,0,255
0,6,252
18,0,255
0,15,255
20,0,255
8,0,255
5,0,255
15,12,249
0,9,250
0,0,242
0,0,246
1,9,255
14,6,254
16,1,255
12,0,236
20,3,252
0,17,235
4,14,255
5,0,255
0,0,240
0,0,255
0,0,239
0,0,255
6,0,255
0,1,255
0,0,255
5,0,255
18,16,255
0,0,250
0,18,250
14,15,254
0,14,255
0,0,255
16,0,255
0,0,255
0,0,255
1,0,255
0,19,239
20,0,255
0,0,245
0,0,241
0,0,255
0,0,240
0,0,255
15,8,237
20,19,253
6,13,255
0,10,255
20,0,237
0,0,255
0,0,244
0,9,255
0,20,255
2,0,255
0,10,255
3,0,255
2,0,241
0,0,255
0,0,239
9,1,236
0,0,255
4,0,255
6,0,248
0,0,255
0,5,249
5,0,255
9,0,251
0,0,246
0,0,255
0,0,237
11,2,255
0,6,239
0,0,246
0,3,253

#WHITE
255,255,255
250,250,250
245,245,245
240,240,240
255,254,252

#BLACK
0,0,0
5,5,5
10,10,10
15,15,15
3,3,3

#YELLOW
255,255,0
254,254,10
250,250,15
240,230,50
255,245,60

#ORANGE
255,165,0
250,160,10
255,140,0
255,170,30
245,130,20

#GRAY
190,190,190
200,200,200
210,210,210
180,180,180
220,220,220

#BROWN
165,42,42
139,69,19
160,82,45
210,105,30
128,0,0

#GOLD
255,215,0
250,210,0
245,200,20
255,223,50
255,193,37

#PURPLE
128,0,128
147,112,219
138,43,226
186,85,211
160,32,240

#CYAN
0,255,255
0,250,255
10,240,245
20,230,235
0,225,255

#PINK
255,192,203
255,182,193
255,105,180
255,20,147
255,174,185
