#WHITE
255,255,255
250,250,250
245,245,245
240,240,240
255,254,252
255,245,240
240,240,255
255,255,240
220,220,220
255,240,240


#YELLOW
255,255,0
254,254,10
250,250,15
240,230,5
255,245,6
255,240,0
255,235,20
255,225,5
255,210,3
255,200,5



#RED
255,0,0
255,5,15
250,10,10
240,20,2
245,13,9
240,10,10
255,7,1
245,4,4
255,5,5
245,2,3

#GREEN
0,255,0
0,253,0
5,255,5
20,239,20
25,240,25
0,180,0
10,255,10
0,240,0
0,250,0
5,250,5

#BLUE
0,0,255
0,0,240
10,10,255
10,12,240
3,3,255
5,5,250
15,5,255
23,4,255
15,15,245
10,10,235
